transaction_type,purchaseId,employeeId,department,location,purchaseDate,approvalDate,invoiceNumber,invoiceDate,paymentDate,vendorName,vendorRegistrationDate,contractDate,vendorBankAccount,vendorAddress,vendorContact,itemId,itemDescription,category,unitPrice,quantity,amountTotal,status,contractId,is_fraud,purchase_month,purchase_dayofweek,purchase_quarter,is_weekend,days_to_approval,days_purchase_to_invoice,days_invoice_to_payment,vendor_age_at_contract,log_amount,log_unitprice,amount_zscore,amount_vs_category_median,amount_consistency_ratio,employee_daily_tx,vendor_tx_count,invoice_frequency,amount_vs_employee_avg,transaction_type_enc,department_enc,location_enc,category_enc,itemDescription_enc,status_enc,employee_tx_frequency
procurement,PO24491967,EMP0119,Procurement,Semarang,2024-01-24,2024-01-28,INV2763023,2024-01-27,2024-02-15,PT Wacana (Persero) Tbk,2021-01-14,2021-10-07,FNPK33630660213344,"Gang H.J Maemunah No. 577, Tanjungpinang, JB 33144",(052) 727-1485,ITEM722847,Jasa Cleaning,Pelatihan,5396000.0,1,5396000.0,Approved,CTR339239,0,1,2,1,0,4,3,19,266,15.501168681632228,15.501168681632228,0.18922119586641084,1.4263808019083262,0.9999998146775733,1,59,1,1.3333330038712616,1,6,5,4,4,0,29
procurement,PO29618560,EMP0039,Finance,Jakarta,2024-11-16,2024-11-24,INV8740677,2024-11-17,2024-11-26,CV Maheswara Tbk,2020-10-16,2021-01-24,WOLQ82235156317816,"Gang Cikutra Timur No. 331, Pasuruan, Sulawesi Tengah 30370",+62 (0614) 078 2325,ITEM886920,Meja Kantor,Pelatihan,3655000.0,1,3655000.0,Approved,CTR808503,0,11,5,4,1,8,1,9,100,15.11160692476379,15.11160692476379,0.051784320170152234,0.9661641643763774,0.9999997264022636,1,42,1,2.1305929663711556,1,0,2,4,9,0,31
expense,PO28425550,EMP0085,IT,Semarang,2023-05-23,2023-05-31,INV3003633,2023-05-26,2023-05-29,PD Mustofa Suwarno Tbk,2021-06-17,2021-09-15,EIZA91853129882149,"Jl. Ciwastra No. 344, Bitung, Papua Barat 72795",(097) 071 1204,ITEM452858,Kamera,Lain-lain,881000.0,1,881000.0,Approved,CTR776375,0,5,1,2,0,8,3,3,90,13.688814039991453,13.688814039991453,-0.16719896138149704,1.0601671959480192,0.9999988649275086,1,50,1,0.45204964233688627,0,2,5,2,5,0,30
expense,PO62517401,EMP0032,Procurement,Bali,2022-10-30,2022-11-07,INV9892323,2022-11-01,2022-11-08,UD Hidayanto (Persero) Tbk,2019-04-08,2019-12-16,QKZF26172377962423,"Jalan Waringin No. 522, Ternate, SG 87605",+62 (0927) 996 5104,ITEM407851,Security System,Lain-lain,150000.0,3,450000.0,Approved,CTR580564,0,10,6,4,1,8,2,7,252,13.017005083966255,11.918397239722838,-0.2012226796038333,0.5415155938440507,0.999997777782716,1,43,1,0.3008773583770274,0,6,0,2,12,0,32
procurement,PO20654815,EMP0102,R&D,Surabaya,2023-03-03,2023-03-05,INV3255565,2023-03-06,2023-03-10,PT Pradipta,2019-07-02,2020-05-02,XAVZ71554323761405,"Jalan Rungkut Industri No. 16, Kotamobagu, Papua 13477",(0621) 520-1906,ITEM232068,AC,Komunikasi,183000.0,3,550000.0,Approved,CTR870767,0,3,4,1,0,2,3,4,305,13.217675375388819,12.117246896289503,-0.19332854544551864,1.0054826225180575,1.0018196688166323,1,56,1,0.21862072807289462,1,7,6,1,0,0,35
procurement,PO85852707,EMP0080,HR,Semarang,2022-12-24,2023-01-02,INV5441017,2022-12-25,2023-01-04,UD Damanik,2019-03-31,2019-08-17,BAKC99939539024379,"Jalan Stasiun Wonokromo No. 287, Pariaman, Kalimantan Utara 07335",+62 (063) 261-0038,ITEM98460,Kendaraan Operasional,Transportasi,371000.0,1,371000.0,Approved,CTR664401,0,12,5,4,1,9,1,10,139,12.82396003700373,12.82396003700373,-0.2074590455889019,1.3017498184216898,0.9999973045894756,1,47,1,0.06817269388990968,1,1,5,7,6,0,33
expense,PO70925585,EMP0052,IT,Jakarta,2023-04-12,2023-04-19,INV5452640,2023-04-16,2023-04-22,CV Pratama (Persero) Tbk,2020-11-13,2021-01-20,CACC89591166484103,"Jl. Jayawijaya No. 17, Tegal, LA 74072",+62 (0709) 767 0440,ITEM656303,Meja Kantor,Lain-lain,297000.0,3,892000.0,Approved,CTR396088,0,4,2,2,0,7,4,6,68,13.70122253263775,12.601490784782536,-0.16633060662408242,1.0734042437975406,1.0011212108628385,1,56,1,1.2696669298219165,0,2,2,2,9,0,33
procurement,PO70233412,EMP0102,Marketing,Yogyakarta,2022-10-10,2022-10-13,INV5885773,2022-10-14,2022-10-17,CV Hidayat,2021-07-15,2021-10-03,YOOK66445541871583,"Gg. M.T Haryono No. 483, Dumai, LA 52203",+62 (038) 146-6129,ITEM64565,Security System,Transportasi,290000.0,1,290000.0,Approved,CTR696866,0,10,0,4,0,3,4,3,80,12.577639650232573,12.577639650232573,-0.2138532942571368,1.0175402893323182,0.9999965517360285,1,44,1,0.11527274752934444,1,4,7,7,12,0,35
expense,PO43598114,EMP0150,IT,Yogyakarta,2023-03-07,2023-03-16,INV6815288,2023-03-10,2023-03-25,PT Nababan Purwanti,2020-05-12,2021-03-25,QQGF10261411455364,"Gg. Suryakencana No. 051, Gorontalo, Maluku Utara 15356",086 343 7272,ITEM545691,Catering,Lain-lain,187000.0,3,561000.0,Approved,CTR150106,0,3,1,1,0,9,3,15,317,13.237477967034438,12.138869243416009,-0.19246019068810402,0.6750894403255833,0.9999982174719831,1,58,1,0.15731311950566954,0,2,7,2,2,0,37
expense,PO43079831,EMP0035,Marketing,Jakarta,2022-11-11,2022-11-16,INV1267977,2022-11-14,2022-11-21,CV Saputra Habibi,2019-03-05,2019-07-20,VWQW14793665888338,"Gg. Gedebage Selatan No. 4, Balikpapan, Jawa Timur 75711",+62 (170) 240-2604,ITEM145282,Konsultasi IT,Makan & Hiburan,290000.0,1,290000.0,Approved,CTR311098,0,11,4,4,0,5,3,7,137,12.577639650232573,12.577639650232573,-0.2138532942571368,0.8192067254047305,0.9999965517360285,2,59,1,0.13965705044171875,0,4,2,3,7,0,35
procurement,PO55521135,EMP0109,Legal,Bandung,2024-01-24,2024-01-29,INV6470139,2024-01-25,2024-02-12,CV Nurdiyanti Mustofa,2020-06-30,2020-12-25,MEIE30845894047365,"Jalan Jend. Sudirman No. 358, Yogyakarta, Riau 77268",(027) 870 4475,ITEM988619,Security System,Lain-lain,171000.0,3,514000.0,Approved,CTR609057,0,1,2,1,0,5,1,18,178,13.1499804899607,12.049424683420915,-0.19617043374251192,0.6185311449685379,1.0019473646250203,1,50,1,0.23769560257189548,1,3,1,2,12,0,35
expense,PO90745822,EMP0134,Operations,Medan,2023-01-22,2023-01-23,INV2757577,2023-01-23,2023-01-30,UD Anggriawan Aryani,2021-08-28,2022-04-11,ERHQ93739528954925,"Gg. Kebonjati No. 8, Meulaboh, Jawa Tengah 15448",(064) 068 7250,ITEM854125,Laptop,Transportasi,116000.0,3,349000.0,Approved,CTR917127,0,1,6,1,1,1,1,7,226,12.762830066509972,11.661354090741,-0.20919575510373115,1.224557106817169,1.002870681406088,1,42,1,0.06141044380244318,0,5,4,7,8,0,42
expense,PO44939200,EMP0099,Procurement,Makassar,2023-06-03,2023-06-05,INV719968,2023-06-06,2023-06-23,CV Hidayat,2021-07-15,2022-06-01,BNYQ90785518133656,"Jalan Ciwastra No. 874, Parepare, Jawa Tengah 39880",(069) 155 4468,ITEM75632,Kendaraan Operasional,Makan & Hiburan,113000.0,3,338000.0,Approved,CTR162856,0,6,5,2,1,2,3,17,321,12.73080413304066,11.635151947212842,-0.21006410986114576,0.9547995627130996,0.9970472063504238,1,44,1,0.2527915581958688,0,6,3,3,6,0,29
procurement,PO97253383,EMP0034,Legal,Makassar,2023-02-18,2023-02-26,INV2215684,2023-02-22,2023-03-13,UD Narpati,2021-06-24,2022-03-06,HHUZ28477284770427,"Jl. Laswi No. 058, Manado, BE 46474",085 787 2651,ITEM264360,Kendaraan Operasional,Perlengkapan Kantor,563000.0,1,563000.0,Approved,CTR409508,0,2,5,1,1,8,4,19,255,13.241036683319184,13.241036683319184,-0.19230230800493772,1.1978697917664005,0.9999982238042205,1,57,1,0.6821399288642811,1,3,3,6,6,0,35
procurement,PO90820776,EMP0131,HR,Bali,2023-12-31,2024-01-01,INV2804764,2024-01-01,2024-01-04,CV Firmansyah Tbk,2020-01-02,2020-12-19,FWWU42604064084361,"Gang R.E Martadinata No. 9, Ambon, JA 70303",0871197734,ITEM966281,Software License,Perjalanan Dinas,19191000.0,1,19191000.0,Approved,CTR201238,1,12,6,4,1,1,1,3,352,16.76995202920814,16.76995202920814,1.2782170030059212,13.203293289787899,0.9999999478922439,1,48,1,5.932436941989657,1,1,0,5,14,0,27
expense,PO39020417,EMP0139,HR,Surabaya,2024-12-02,2024-12-09,INV814363,2024-12-06,2024-12-11,PT Pratiwi Widiastuti Tbk,2021-04-12,2021-11-10,EDHJ13908832004368,"Gang Kebonjati No. 738, Padang, MU 28320",+62 (0774) 749 0922,ITEM529905,Software License,Transportasi,270000.0,1,270000.0,Approved,CTR510683,0,12,0,4,0,7,4,5,212,12.506180941677357,12.506180941677357,-0.21543212108879972,0.947365096964572,0.9999962963100136,1,60,1,0.05682898987292367,0,1,6,7,14,0,42
expense,PO55392354,EMP0130,HR,Makassar,2023-09-28,2023-10-05,INV9668069,2023-10-02,2023-10-07,UD Tamba Pudjiastuti (Persero) Tbk,2021-05-08,2021-09-21,GZKS51233411630432,"Jalan Peta No. 326, Kota Administrasi Jakarta Pusat, JB 47100",+62 (204) 849-3373,ITEM197954,Kendaraan Operasional,Pelatihan,1585000.0,2,3170000.0,Approved,CTR424091,0,9,3,3,0,7,4,5,136,14.969242461310827,14.276095596208146,0.013497769502326026,0.8379590700610441,0.9999996845426863,1,44,1,3.142559892227201,0,1,3,4,6,0,26
expense,PO64588877,EMP0047,Operations,Bandung,2024-04-14,2024-04-15,INV5429544,2024-04-18,2024-05-06,UD Tamba Pudjiastuti (Persero) Tbk,2021-05-08,2021-08-28,QPUA50513786297372,"Jl. Cikutra Barat No. 3, Sabang, PB 95593",+62 (83) 175-8505,ITEM288573,AC,Lain-lain,294000.0,3,882000.0,Approved,CTR635852,0,4,6,2,1,1,4,18,112,13.689948468775134,12.591338447675579,-0.16712002003991389,1.0613705639343394,0.9999988662144375,1,44,1,0.19760103110996097,0,5,1,2,0,0,26
procurement,PO51167558,EMP0144,R&D,Yogyakarta,2023-10-18,2023-10-22,INV6879026,2023-10-22,2023-11-08,Perum Kuswandari Mandala,2023-10-13,2023-10-16,GYEA94416521367704,"Gang Sentot Alibasa No. 832, Semarang, Sulawesi Tengah 47986",+62-448-476-5621,ITEM949159,Printer,Perjalanan Dinas,13473000.0,1,13473000.0,Approved,CTR268511,1,10,2,4,0,4,4,17,3,16.4161983149605,16.4161983149605,0.8268304118334877,9.269343467943951,0.9999999257774864,1,46,1,4.444740295346114,1,7,7,5,10,0,27
expense,PO98872083,EMP0033,Finance,Jakarta,2024-01-25,2024-01-28,INV4427522,2024-01-26,2024-02-01,PT Anggriawan (Persero) Tbk,2020-12-01,2021-09-20,FHYA92790237943530,"Jl. Tebet Barat Dalam No. 47, Tanjungbalai, MU 25790",+62 (043) 856-7760,ITEM140218,Server,Perlengkapan Kantor,209000.0,2,418000.0,Approved,CTR669301,0,1,3,1,0,3,1,6,293,12.94323910384853,12.250094315624496,-0.203748802534494,0.889359809872745,0.9999976076612257,1,56,1,0.17815594463614975,0,0,2,6,13,0,31
procurement,PO82811222,EMP0128,Legal,Makassar,2022-11-05,2022-11-10,INV9027573,2022-11-06,2022-11-11,UD Anggriawan Iswahyudi,2020-02-07,2021-01-08,YOOF78756814104989,"Jalan Erlangga No. 69, Bandung, JB 18050",+62 (015) 572 3550,ITEM677495,Kendaraan Operasional,Pelatihan,1055000.0,3,3165000.0,Approved,CTR489214,0,11,5,4,1,5,1,5,336,14.96766392951613,13.869052272759154,0.013103062794410293,0.8366373680577933,0.9999996840443336,1,57,1,3.7340682703300256,1,3,3,4,6,0,25
procurement,PO34186861,EMP0016,Operations,Medan,2023-07-31,2023-08-02,INV3663487,2023-08-04,2023-08-09,PT Nuraini Wasita,2019-06-10,2019-12-27,OKFM95196516154328,"Jalan Jakarta No. 429, Palu, DKI Jakarta 04032",0845331120,ITEM620581,Security System,Lain-lain,315000.0,2,630000.0,Approved,CTR635095,0,7,0,3,0,2,4,5,200,13.353476685668044,12.660331092405906,-0.1870132381188669,0.758121831381671,0.9999984127009323,1,52,1,0.2566190400737108,1,5,4,2,12,0,32
expense,PO72433678,EMP0097,Finance,Makassar,2022-08-07,2022-08-08,INV3372170,2022-08-08,2022-08-11,Perum Yuniar Gunarto,2019-10-16,2020-04-26,UURI31699619395228,"Gang Stasiun Wonokromo No. 49, Pontianak, AC 87900",+62 (632) 813-0488,ITEM333945,Kamera,Akomodasi,29216000.0,1,29216000.0,Approved,CTR274943,1,8,6,3,1,1,1,3,193,17.19022709660465,17.19022709660465,2.069603952376968,23.410237652053162,0.9999999657721808,1,44,1,9.292824123327806,0,0,3,0,5,0,43
procurement,PO99464999,EMP0035,HR,Bali,2024-03-22,2024-03-12,INV9871669,2024-03-25,2024-04-11,Perum Setiawan Tbk,2020-12-18,2021-10-01,XYND23809273951328,"Gg. Rajiman No. 3, Binjai, Aceh 84217",0874210371,ITEM489185,Furniture Kantor,Perjalanan Dinas,18766000.0,1,18766000.0,Approved,CTR151164,1,3,4,1,0,-10,3,17,287,16.747557333119993,16.747557333119993,1.2446669328330837,12.910895830137028,0.9999999467121418,1,59,1,9.03725589168722,1,1,0,5,3,0,35
expense,PO71956289,EMP0007,HR,Bandung,2024-08-18,2024-08-26,INV7565024,2024-08-22,2024-09-01,CV Hartati (Persero) Tbk,2020-12-01,2021-05-13,TFGM74383368456538,"Jl. Soekarno Hatta No. 596, Cimahi, DKI Jakarta 77381",(032) 881 8780,ITEM872443,Laptop,Komunikasi,739000.0,1,739000.0,Approved,CTR304814,0,8,6,3,1,8,4,10,163,13.513054553109397,13.513054553109397,-0.17840863188630388,1.3510030146197174,0.9999986468218581,1,49,1,0.34593313238940554,0,1,1,1,8,0,32
expense,PO11762376,EMP0042,R&D,Medan,2024-01-29,2024-02-02,INV3243325,2024-01-30,2024-02-11,UD Prasetya Nainggolan,2020-03-21,2020-08-02,VLCH87751500770582,"Gg. Dr. Djunjunan No. 4, Bengkulu, GO 88370",+62-180-217-6189,ITEM398430,Alat Tulis,Akomodasi,736000.0,2,1472000.0,Approved,CTR356492,0,1,0,1,0,4,1,12,134,14.202133257618554,13.508986756405742,-0.12054462850585726,1.1794862343860302,0.9999993206526354,1,50,1,1.2490131652995353,0,7,4,0,1,0,51
procurement,PO17118933,EMP0034,Legal,Bandung,2023-04-19,2023-04-21,INV6078062,2023-04-20,2023-05-01,CV Iswahyudi Uyainah,2019-12-30,2020-08-06,RFRX50603119591318,"Gang Jayawijaya No. 5, Bima, Gorontalo 35367",0868353520,ITEM639483,AC,Komunikasi,150000.0,2,299000.0,Approved,CTR725637,0,4,2,2,0,2,1,11,220,12.608202196848836,11.918397239722838,-0.21314282218288846,0.5466169166052713,0.9966633444555185,1,47,1,0.3622732481890232,1,3,1,1,0,0,35
expense,PO22586405,EMP0088,Marketing,Jakarta,2023-05-26,2023-06-04,INV2941025,2023-05-27,2023-06-11,CV Firmansyah Tbk,2020-01-02,2020-05-22,IXYM97783322447198,"Jalan Merdeka No. 9, Kota Administrasi Jakarta Utara, Jawa Barat 00833",0815043999,ITEM740374,Meja Kantor,Perlengkapan Kantor,447000.0,1,447000.0,Approved,CTR98087,0,5,4,2,0,9,1,15,141,13.010316110729669,13.010316110729669,-0.20145950362858275,0.9510618062514761,0.9999977628685395,1,48,1,0.1892663536503213,0,4,2,6,9,0,36
procurement,PO66611557,EMP0064,HR,Yogyakarta,2023-04-01,2023-04-02,INV9234222,2023-04-02,2023-04-05,PT Purwanti Maulana (Persero) Tbk,2020-09-28,2021-08-18,NRIP79536761409265,"Jl. Setiabudhi No. 8, Ternate, Sumatera Selatan 45873",081 712 0471,ITEM84267,Laptop,Makan & Hiburan,4110000.0,1,4110000.0,Approved,CTR475864,1,4,5,2,1,1,1,3,324,15.22893382978139,15.22893382978139,0.08770263059048403,11.610136694529112,0.9999997566910568,1,56,1,1.5569507623394765,1,1,7,3,8,0,31
procurement,PO80153396,EMP0051,Finance,Medan,2022-12-28,2023-01-05,INV9105752,2022-12-31,2023-01-08,CV Firmansyah Tbk,2020-01-02,2021-01-22,SFJK75095120558237,"Gg. Peta No. 367, Payakumbuh, Sumatera Barat 98737",+62-0784-634-5342,ITEM361035,Proyektor,Pelatihan,3201000.0,1,3201000.0,Approved,CTR18933,0,12,2,4,0,8,3,8,386,14.978974131354326,14.978974131354326,0.015944951091403578,0.8461536224811994,0.9999996875977233,1,48,1,1.8168023937326276,1,0,4,4,11,0,35
expense,PO377881,EMP0137,Legal,Jakarta,2022-02-06,2022-02-11,INV3150133,2022-02-09,2022-02-23,CV Januar Megantara,2020-10-31,2021-08-16,CDMM73254226268280,"Gg. Asia Afrika No. 9, Balikpapan, KR 83193",080 452 8490,ITEM475155,Meja Kantor,Perjalanan Dinas,570000.0,2,1141000.0,Approved,CTR466294,0,2,6,1,1,5,3,14,289,13.947416505268018,13.25339339419516,-0.14667421256987886,0.7850011799097489,1.0008763150207762,1,42,1,1.2181605516389804,0,3,2,5,9,0,35
procurement,PO3065200,EMP0045,Legal,Bali,2022-10-29,2022-11-05,INV7525871,2022-11-02,2022-11-09,PD Pranowo Rajasa (Persero) Tbk,2020-07-08,2020-11-28,SPMY93260556997535,"Gg. Pasir Koja No. 4, Ternate, DI Yogyakarta 13318",(0299) 735 0072,ITEM563754,Meja Kantor,Makan & Hiburan,134000.0,2,268000.0,Approved,CTR593162,0,10,5,4,1,7,4,7,143,12.498745990829315,11.80560254159177,-0.21559000377196602,0.7570600083050613,0.9999962686706393,1,49,1,0.24982664614252878,1,3,0,3,9,0,35
expense,PO86011773,EMP0006,Finance,Surabaya,2022-12-06,2022-12-15,INV6071519,2022-12-08,2022-12-14,UD Narpati (Persero) Tbk,2021-04-12,2022-04-30,BJSL26056260656428,"Jalan R.E Martadinata No. 13, Bima, Kalimantan Selatan 75276",+62-077-786-5583,ITEM181867,Proyektor,Akomodasi,475000.0,3,1424000.0,Approved,CTR118800,0,12,1,4,0,9,2,6,383,14.168981073201003,13.07107218827772,-0.1243338129018483,1.1410247267430074,0.9992975443526004,1,44,1,0.3378879559577908,0,0,6,0,11,0,29
procurement,PO82535071,EMP0031,Legal,Medan,2023-10-24,2023-10-29,INV6626723,2023-10-26,2023-11-10,PT Uwais Gunarto (Persero) Tbk,2021-02-20,2021-08-10,NRBF48660019316864,"Gg. Astana Anyar No. 7, Tanjungpinang, Gorontalo 96142",(064) 117 5682,ITEM191,Kendaraan Operasional,Perlengkapan Kantor,271000.0,1,271000.0,Approved,CTR107904,0,10,1,4,0,5,2,15,171,12.509877789891931,12.509877789891931,-0.2153531797472166,0.5765945178840045,0.999996309976716,1,53,1,0.31847524060661725,1,3,4,6,6,0,42
expense,PO28068422,EMP0006,IT,Bali,2022-07-16,2022-07-21,INV409244,2022-07-17,2022-08-01,CV Nurdiyanti Ardianto,2021-01-05,2021-03-31,AQXH80010436520294,"Gang Pelajar Pejuang No. 5, Metro, RI 48595",0880262839,ITEM35911,Konsultasi IT,Transportasi,36000.0,2,72000.0,Approved,CTR814790,0,7,5,3,1,5,1,15,85,11.184435286790631,10.491301994830229,-0.2310625067222628,0.25263069252388587,0.9999861113040097,1,42,1,0.01708422249224785,0,2,0,7,7,0,29
procurement,PO34491939,EMP0043,IT,Jakarta,2024-09-15,2024-09-20,INV593339,2024-09-16,2024-09-20,Perum Januar Usada (Persero) Tbk,2021-04-19,2022-02-16,GOXC55512685119820,"Gg. Pasirkoja No. 1, Metro, NT 71421",+62 (495) 410-6528,ITEM613584,Catering,Lain-lain,494000.0,2,987000.0,Approved,CTR468861,0,9,6,3,1,5,1,4,303,13.80242633158633,13.11029282045951,-0.15883117917368347,1.1877242024979513,0.9989868431307256,1,55,1,0.2938927770763237,1,2,2,2,2,0,30
expense,PO22279693,EMP0033,IT,Medan,2022-08-06,2022-08-14,INV3361238,2022-08-07,2022-08-14,UD Wulandari Suartini Tbk,2019-05-09,2019-10-19,DWMQ47509162589348,"Jalan Sukabumi No. 59, Banjarbaru, JA 77263",(0006) 341 0032,ITEM43584,Server,Perjalanan Dinas,1176000.0,1,1176000.0,Approved,CTR458050,0,8,5,3,1,8,1,7,163,13.977630257780485,13.977630257780485,-0.1439112656144687,0.8090809707045266,0.999999149660587,1,52,1,0.5012234231868711,0,2,4,5,13,0,31
expense,PO71975714,EMP0051,HR,Jakarta,2022-04-20,2022-04-26,INV6860835,2022-04-23,2022-05-07,PD Setiawan (Persero) Tbk,2022-03-29,2022-04-10,SFFF18204859781930,"Jalan Ciwastra No. 0, Tangerang, DKI Jakarta 81685",(0387) 775 4372,ITEM462577,Kendaraan Operasional,Transportasi,3488000.0,1,3488000.0,Approved,CTR259439,1,4,2,2,0,6,3,14,12,15.064839350708214,15.064839350708214,0.038601116125766714,12.238553548934917,0.9999997133028344,1,41,1,1.979695954182882,0,1,2,7,6,0,35
